Countries,Users,"Information (organization, profile etc)",,,Regional @,
India ,@htTweets,Local media,,,,
India ,@timesofindia,Local media,,,,
Sudan,@SudanMonitor,Local media,,,,
Sudan/Sri Lanka,@Callum_Macrae,Documentary director,,,,
Sudan,@ToSudanWithLove,Local organisation,,,,
Sudan,@SudanTribune_EN,Local media,,,,
Sudan,@ReemWrites,Journalist,,,,
Sudan,@Radiodabanga,Local media,,,,
Sudan,@StillSUDAN,Local media,,,,
Sudan,@JamesCopnall,Local media,,,,
Sudan,@SudanHSBA,Small Arms Survey's Sudan project,,,,
Sudan,@MimzicalMimz,Activist,,,,
Sudan,@NubaReports,Local media,,,,
Sudan,@sudanreeves,Researcher,,,,
Sudan,@sudanchangenow,Political movement,,,,
Sudan,@asma_Ib,Activist,,,,
Sudan,@RyanBoyette,Journalist,,,,
Sudan,@UNOCHA_Sudan,OCHA Sudan,,,,
Sudan,@unamidnews,UN-AU Mission in Darfur,,,,
Sudan,@UNSudan,UN Sudan,,,,
Sudan,@SUDO_UK,Human rights NGO ,,,,
Pakistan,@pamirtimes,Local media,,,,
Pakistan,@TanqeedOrg,Local media,,,,
Pakistan,@thenews_intl,Local media,,,,
Pakistan,@myraemacdonald,Journalist,,,,
Pakistan,@mehreenzahra,Journalist,,,,
Pakistan,@spin_ghar,Local person/commentator,,,,
Pakistan,@KarimaBaloch,Human rights activist (Balochistan),,,,
"Pakistan, South Asia",@MichaelKugelman,Researcher,,,,
Pakistan,@husainhaqqani,Frm. Pakistani ambassador to the US,,,,
Pakistan,@fispahani,Frm. Pakistani MP,,,,
Pakistan,@SherM_BRP,Independence activist (Balochistan),,,,
Pakistan,@JinnahInstitute,Think tank,,,,
Pakistan,@sherryrehman,Politician/frm. Pakistani ambassador to the US,,,,
Pakistan,@MehranMarri,Human rights activist (Balochistan),,,,
Pakistan,@dawn_com,Local media,,,,
Pakistan,@TheFrontierPost,Local media,,,,
Pakistan,@DawarSafdar,Journalist (FATA),,,,
Pakistan,@bilalfqi,Journalist,,,,
Pakistan,@PAKPIPS,Think tank,,,,
Libya,@centre_ly,pro-GNA militia,,,,
Libya,@AGomati,Researcher,,,,
Libya,@imanlibya,Local person,,,,
Libya,@LNASpox,Libyan National Army,,,,
Libya,@alwasatengnews,Local media,,,,
Libya,@docuandreport,Journalist,,,,
Libya,@nancyporsia,Journalist,,,,
Libya,@NadiaR_LY,Local commentator,,,,
Libya,@AlexScipione,Journalist,,,,
Libya,@PaganoDritto,Commentator,,,,
Libya,@marco_arnaboldi,Researcher,,,,
